no_colname	no_colname	no_colname	no_colname	no_colname	no_colname
HOG267.fa	WP_097080153.1	7.08e-18	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG268.fa	WP_087621192.1	2.87e-28	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2734.fa	WP_044103099.1	4.76e-09	fig|470.5054.peg.1057|BQ1898_05993|	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2735.fa	WP_000769060.1	2.42e-13	fig|470.5054.peg.1057|BQ1898_05993|	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2736.fa	WP_032867180.1	1.01e-11	fig|470.5054.peg.1057|BQ1898_05993|	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2737.fa	WP_004653958.1	3.62e-51	fig|470.5054.peg.1057|BQ1898_05993|	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2741.fa	WP_001104129.1	5.66e-07	fig|470.7268.peg.3003|	Ferric enterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2764.fa	WP_000774086.1	2.50e-39	fig|470.10130.peg.430|	Chaperone protein FimC   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2766.fa	WP_000775740.1	8.67e-38	fig|470.6913.peg.8890|	Mg(2+)-transport-ATPase-associated protein MgtC   [Acinetobacter baumannii strain MRSN7321 | 470.6913]	VFDB
HOG2767.fa	WP_004645808.1	2.45e-23	fig|470.6913.peg.8890|	Mg(2+)-transport-ATPase-associated protein MgtC   [Acinetobacter baumannii strain MRSN7321 | 470.6913]	VFDB
HOG2774.fa	WP_000777878.1	3.89e-07	fig|470.7268.peg.4419|	Outer membrane protein A precursor   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2789.fa	WP_001985076.1	4.90e-05	fig|470.3513.peg.3222|CAT67_13460|	Nicotinamidase family protein YcaC   [Acinetobacter baumannii strain ARLG1935 | 470.3513]	VFDB
HOG2792.fa	WP_000784943.1	6.26e-18	fig|470.5054.peg.950|BQ1898_06231|	Trans-2,3-dihydro-3-hydroxyanthranilate isomerase (EC 5.3.3.17)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2798.fa	WP_004718317.1	0.009	fig|2002.3.peg.1434|	Two component system sensor histidine kinase MtrB   [Streptosporangium amethystogenes strain NRRL B-2639 | 2002.3]	PATRIC
HOG2799.fa	WP_001214059.1	1.81e-09	fig|470.5054.peg.1892|BQ1898_02621|	type 4 fimbrial biogenesis protein FimU   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2802.fa	WP_004901685.1	9.55e-09	fig|470.5622.peg.2675|SAMEA104305299_02143|	General secretion pathway protein G   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG2803.fa	WP_000788344.1	2.01e-08	fig|470.5054.peg.1886|BQ1898_02615|	Type IV pilus biogenesis protein PilE   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2874.fa	WP_000826956.1	4.98e-45	fig|470.6998.peg.455|	Capsular polysaccharide synthesis enzyme Cap8M   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG2876.fa	WP_000827948.1	1.06e-07	fig|470.6998.peg.296|	Lipase precursor (EC 3.1.1.3)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG2878.fa	WP_000828390.1	4.34e-06	fig|470.5651.peg.9442|SAMEA104305337_02073|	Pyoverdin biosynthesis protein PvdN, putative aminotransferase, class V   [Acinetobacter baumannii strain 4300STDY7045842 | 470.5651]	VFDB
HOG2883.fa	WP_000832710.1	2.47e-20	fig|470.6721.peg.2347|	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain MRSN1966 | 470.6721]	VFDB
HOG2884.fa	WP_031947350.1	3.69e-19	fig|470.6721.peg.2347|	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain MRSN1966 | 470.6721]	VFDB
HOG2894.fa	WP_000836911.1	5.73e-08	fig|470.5054.peg.7084|BQ1898_00415|	General secretion pathway protein I   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2903.fa	WP_000841370.1	1.15e-07	fig|470.5054.peg.7083|BQ1898_00414|	General secretion pathway protein H   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2907.fa	WP_000842416.1	1.23e-128	fig|470.5054.peg.5658|BQ1898_06315|	HtrA protease/chaperone protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2917.fa	WP_004683197.1	1.19e-80	fig|470.3346.peg.3387|BVG13_18755|	Integron integrase IntI1   [Acinetobacter baumannii strain TDAB1 | 470.3346]	VFDB
HOG2951.fa	WP_000853311.1	6.47e-25	fig|470.10130.peg.7344|	iron aquisition 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58,Irp5) @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2956.fa	WP_009391744.1	1.98e-19	fig|470.5054.peg.5736|BQ1898_00048|	FAD-dependent monooxygenase PhzS   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2957.fa	WP_000811369.1	9.41e-15	fig|470.5054.peg.5736|BQ1898_00048|	FAD-dependent monooxygenase PhzS   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2959.fa	WP_000856567.1	1.26e-11	fig|470.5054.peg.5736|BQ1898_00048|	FAD-dependent monooxygenase PhzS   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2961.fa	WP_001103529.1	3.71e-31	fig|470.5054.peg.5736|BQ1898_00048|	FAD-dependent monooxygenase PhzS   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2981.fa	WP_000865306.1	3.33e-46	fig|470.5622.peg.2675|SAMEA104305299_02143|	General secretion pathway protein G   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG2982.fa	WP_000865988.1	5.62e-96	fig|1177179.3.peg.768|A11A3_03849|VBIAlcHon236673_0768|	Alginate biosynthesis two-component system response regulator AlgR   [Alcanivorax hongdengensis A-11-3 | 1177179.3]	PATRIC
HOG2990.fa	WP_000870031.1	0.001	fig|470.6507.peg.4814|	General secretion pathway protein C   [Acinetobacter baumannii strain 468 | 470.6507]	VFDB
HOG3016.fa	WP_002036546.1	3.14e-06	fig|1470200.3.peg.2010|PL75_04310|	Multidrug resistance regulator EmrR (MprA)   [Neisseria sp. KH1503 | 1470200.3]	PATRIC
HOG3026.fa	WP_000886772.1	1.53e-32	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3043.fa	WP_000893008.1	1.28e-34	fig|470.5623.peg.4093|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG3062.fa	WP_000933794.1	1.20e-37	fig|470.5054.peg.3258|BQ1898_01303|	VgrG protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG306.fa	WP_007484215.1	4.02e-04	fig|1121372.3.peg.1076|VBICurGin278180_1076|	Two component system sensor histidine kinase MtrB   [Curtobacterium ginsengisoli DSM 22003 | 1121372.3]	PATRIC
HOG3088.fa	WP_000912074.1	4.26e-09	fig|470.5054.peg.1485|	T6SS Serine/threonine protein kinase (EC 2.7.11.1) PpkA   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3122.fa	WP_001070730.1	2.03e-63	fig|470.10130.peg.7338|	Iron siderophore ABC transporter, permease/ATP-binding protein YbtP   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3124.fa	WP_000922244.1	6.14e-58	fig|470.10130.peg.7337|	Iron siderophore ABC transporter, permease/ATP-binding protein YbtQ   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3126.fa	WP_016540161.1	1.59e-25	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG3127.fa	WP_000988402.1	2.94e-37	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG3128.fa	WP_063097747.1	2.22e-16	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG3129.fa	WP_081313842.1	2.89e-57	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG3130.fa	WP_001269709.1	7.71e-39	fig|470.10130.peg.7337|	Iron siderophore ABC transporter, permease/ATP-binding protein YbtQ   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3131.fa	WP_001090097.1	6.25e-45	fig|470.10130.peg.7338|	Iron siderophore ABC transporter, permease/ATP-binding protein YbtP   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3132.fa	WP_001281550.1	5.01e-31	fig|470.5622.peg.6054|SAMEA104305299_05737|	ABC efflux pump, fused inner membrane and ATPase subunits in pyochelin gene cluster @ Putative ABC iron siderophore transporter, fused permease and ATPase domains   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG3139.fa	WP_000925673.1	6.12e-09	fig|470.5054.peg.949|BQ1898_06230|	2-Amino-2-deoxy-isochorismate synthase (EC 2.6.1.86) PhzE   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3169.fa	WP_000471755.1	7.61e-176	fig|470.6998.peg.463|	UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG318.fa	WP_000097867.1	3.88e-26	fig|470.5054.peg.664|BQ1898_05291|	Transcriptional regulator, AraC family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3191.fa	WP_000951071.1	0.005	fig|470.2575.peg.3056|	Acyl carrier protein   [Acinetobacter baumannii strain 3.5D | 470.2575]	VFDB
HOG3199.fa	WP_031949784.1	1.98e-30	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG322.fa	WP_000535301.1	1.26e-15	fig|470.5054.peg.664|BQ1898_05291|	Transcriptional regulator, AraC family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3231.fa	WP_000969580.1	8.09e-21	fig|470.7268.peg.3010|	Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG3247.fa	WP_000983818.1	9.46e-80	fig|470.7268.peg.3002|	Isochorismate synthase (EC 5.4.4.2) @ Isochorismate synthase (EC 5.4.4.2) [enterobactin] siderophore @ Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG3261.fa	WP_000989966.1	8.09e-10	fig|470.6998.peg.2428|	Polysaccharide intercellular adhesin (PIA) biosynthesis deacetylase IcaB (EC 3.-.-.-)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG326.fa	WP_001285124.1	2.81e-07	fig|470.10130.peg.7339|	iron aquisition regulator (YbtA,AraC-like,required for transcription of FyuA/psn,Irp2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3274.fa	WP_000992580.1	1.09e-128	fig|470.5054.peg.5807|BQ1898_03141|	Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG330.fa	WP_000013631.1	2.46e-05	fig|470.5623.peg.7408|	Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid)   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG333.fa	WP_001983827.1	7.27e-09	fig|470.5054.peg.5726|BQ1898_00038|	Transcriptional regulator PchR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3349.fa	WP_001015437.1	1.69e-23	fig|470.5054.peg.1055|BQ1898_05991|	Putative dipeptidase, pyoverdin biosynthesis PvdM   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3357.fa	WP_001017037.1	2.08e-165	fig|470.5054.peg.1504|BQ1898_05454|	Type IV pilus biogenesis protein PilQ   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG336.fa	WP_000554500.1	4.20e-32	fig|470.5054.peg.664|BQ1898_05291|	Transcriptional regulator, AraC family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3375.fa	WP_001020904.1	1.06e-116	fig|470.5054.peg.7080|BQ1898_00411|	General secretion pathway protein E   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3376.fa	WP_001020931.1	2.15e-28	fig|470.5622.peg.3437|SAMEA104305299_00301|	N-butanoyl-L-homoserine lactone synthase @ N-acyl-L-homoserine lactone synthase, LuxI family (EC 2.3.1.184)   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG3380.fa	WP_001022407.1	1.73e-79	fig|470.9259.peg.2008|	Bactoprenol glucosyl transferase   [Acinetobacter baumannii strain aba45acb | 470.9259]	VFDB
HOG3385.fa	WP_001023261.1	9.52e-14	fig|1618207.4.peg.1574|UM93_07775|	Two component system response regulator MtrA   [Arthrobacter sp. IHBB 11108 | 1618207.4]	PATRIC
HOG3391.fa	WP_001025140.1	9.26e-82	fig|470.5054.peg.5732|BQ1898_00044|	Outer membrane receptor for ferric-pyochelin FptA @ Outer membrane receptor for ferric siderophore   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3396.fa	WP_001026389.1	7.62e-12	fig|470.6778.peg.4214|	CylA   [Acinetobacter baumannii strain MRSN7130 | 470.6778]	VFDB
HOG3397.fa	WP_001190936.1	4.19e-07	fig|470.6778.peg.4214|	CylA   [Acinetobacter baumannii strain MRSN7130 | 470.6778]	VFDB
HOG3404.fa	WP_001030690.1	0.005	fig|470.6721.peg.2347|	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain MRSN1966 | 470.6721]	VFDB
HOG3409.fa	WP_001039969.1	9.47e-26	fig|470.5054.peg.1239|BQ1898_05026|	Thioesterase PvdG involved in non-ribosomal peptide biosynthesis   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3419.fa	WP_001039359.1	0.001	fig|470.6998.peg.454|	Capsular polysaccharide synthesis enzyme Cap8N   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG3439.fa	WP_001046500.1	1.02e-08	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3443.fa	WP_001047027.1	2.07e-05	fig|1109412.13.peg.283|BN1221_00284c|	Transcriptional regulator of acrAB operon, AcrR   [Brenneria goodwinii strain OBR1 | 1109412.13]	PATRIC
HOG3444.fa	WP_001047031.1	5.09e-05	fig|470.5054.peg.3262|BQ1898_01307|	T6SS lysozyme-like component TssE   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3461.fa	WP_001054522.1	1.04e-17	fig|470.5054.peg.6085|BQ1898_00279|	Flagellum-specific ATP synthase FliI   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3467.fa	WP_034680148.1	1.06e-13	fig|470.10130.peg.4543|	Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3468.fa	WP_016652262.1	4.77e-20	fig|470.10130.peg.4543|	Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3469.fa	WP_001223275.1	2.78e-07	fig|470.9257.peg.1700|	Ferric enterobactin transport system permease protein FepG (TC 3.A.1.14.2)   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG3470.fa	WP_025464477.1	1.05e-33	fig|470.10130.peg.4543|	Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3471.fa	WP_001210788.1	4.34e-16	fig|470.10130.peg.4543|	Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3487.fa	WP_001062908.1	8.27e-09	fig|470.6998.peg.454|	Capsular polysaccharide synthesis enzyme Cap8N   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG3491.fa	WP_001066523.1	8.31e-165	fig|470.5054.peg.3266|BQ1898_01310|	T6SS component TssC (ImpC/VipB)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3505.fa	WP_001072402.1	3.66e-15	fig|470.5054.peg.1481|BQ1898_06147|	T6SS outer membrane component TssL (ImpK/VasF) / OmpA/MotB domain   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3509.fa	WP_001074362.1	1.41e-07	fig|470.5054.peg.6902|BQ1898_05725|	Flagellar synthesis regulator FleN   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG351.fa	WP_000267775.1	0.008	fig|470.5054.peg.663|BQ1898_05290|	probable chemotaxis protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3525.fa	WP_001081735.1	1.44e-145	fig|470.5054.peg.7751|BQ1898_00606|	Phospholipase C (EC 3.1.4.3) => hemolytic PlcH   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3529.fa	WP_001083350.1	1.44e-05	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG353.fa	WP_000959259.1	1.58e-05	fig|470.5054.peg.663|BQ1898_05290|	probable chemotaxis protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG355.fa	WP_000458278.1	0.007	fig|470.5054.peg.663|BQ1898_05290|	probable chemotaxis protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3570.fa	WP_001093099.1	7.49e-09	fig|470.7268.peg.3014|	4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG358.fa	WP_001105726.1	1.73e-04	fig|470.5054.peg.663|BQ1898_05290|	probable chemotaxis protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3592.fa	WP_001097560.1	9.64e-16	fig|470.7268.peg.4419|	Outer membrane protein A precursor   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG3602.fa	WP_005219495.1	1.65e-87	fig|48296.157.peg.418|	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)   [Acinetobacter pittii strain UKK-0548 | 48296.157]	VFDB
HOG3603.fa	WP_001101643.1	6.51e-07	fig|470.6848.peg.4269|	UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.135)   [Acinetobacter baumannii strain MRSN7234 | 470.6848]	VFDB
HOG3604.fa	WP_092617397.1	5.95e-16	fig|48296.157.peg.418|	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)   [Acinetobacter pittii strain UKK-0548 | 48296.157]	VFDB
HOG3606.fa	WP_001102833.1	6.12e-82	fig|470.5054.peg.7564|BQ1898_04407|	Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3624.fa	WP_001112013.1	5.34e-21	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3626.fa	WP_001112089.1	1.15e-130	fig|470.5054.peg.7081|BQ1898_00412|	General secretion pathway protein F   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3646.fa	WP_001119042.1	3.06e-37	fig|470.5054.peg.3267|BQ1898_01311|	T6SS component TssB (ImpB/VipA)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3659.fa	WP_001125253.1	2.80e-11	fig|1122602.4.peg.208|VBINesAlb272239_0208|	Two component system response regulator MtrA   [Nesterenkonia alba DSM 19423 | 1122602.4]	PATRIC
HOG3687.fa	WP_001136089.1	9.74e-25	fig|470.5622.peg.8160|SAMEA104305299_03202|	ABC transporter, ATP-binding protein   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG3702.fa	WP_001140449.1	1.42e-07	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG3722.fa	WP_001152283.1	1.92e-83	fig|470.5054.peg.2013|BQ1898_02742|	Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3754.fa	WP_001166321.1	0.0	fig|470.5054.peg.7080|BQ1898_00411|	General secretion pathway protein E   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3757.fa	WP_002134661.1	4.48e-04	fig|470.6778.peg.7434|	Polysaccharide pyruvyl transferase / Domain of unknown function / UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)   [Acinetobacter baumannii strain MRSN7130 | 470.6778]	VFDB
HOG3784.fa	WP_001177595.1	8.02e-04	fig|1122622.3.peg.3419|VBIOrnPek238251_3419|	Two component system sensor histidine kinase MtrB   [Ornithinimicrobium pekingense DSM 21552 | 1122622.3]	PATRIC
HOG3785.fa	WP_001177731.1	7.16e-05	fig|470.5685.peg.6262|SAMEA104305377_05788|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045877 | 470.5685]	VFDB
HOG3812.fa	WP_001183458.1	6.23e-25	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG3823.fa	WP_001186635.1	5.31e-35	fig|470.5651.peg.1311|SAMEA104305337_00932|	Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)   [Acinetobacter baumannii strain 4300STDY7045842 | 470.5651]	VFDB
HOG3827.fa	WP_001187342.1	2.50e-08	fig|470.5622.peg.5674|SAMEA104305299_05323|	Flagellar biosynthesis protein FlhF   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG3839.fa	WP_001190390.1	9.02e-15	fig|470.5054.peg.3260|BQ1898_01305|	T6SS component TssG (ImpH/VasB)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3858.fa	WP_001196431.1	1.76e-136	fig|470.5054.peg.7078|BQ1898_00409|	General secretion pathway protein D   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3872.fa	WP_001202415.1	2.51e-18	fig|470.7268.peg.4419|	Outer membrane protein A precursor   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG3891.fa	WP_001210050.1	1.29e-169	fig|470.5054.peg.3259|BQ1898_01304|	T6SS AAA+ chaperone ClpV (TssH)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG390.fa	WP_000020709.1	4.24e-12	fig|470.5054.peg.3268|BQ1898_01312|	T6SS component TssA (ImpA)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3958.fa	WP_001242992.1	7.38e-10	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG3980.fa	WP_001254963.1	6.94e-122	fig|470.5054.peg.2543|BQ1898_01914|	Outer membrane stress sensor protease DegS   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG4010.fa	WP_001274814.1	1.16e-16	fig|470.6721.peg.2347|	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain MRSN1966 | 470.6721]	VFDB
HOG4012.fa	WP_001274985.1	0.0	fig|470.5685.peg.4302|SAMEA104305377_04111|	Type IV fimbrial assembly, ATPase PilB   [Acinetobacter baumannii strain 4300STDY7045877 | 470.5685]	VFDB
HOG4028.fa	WP_001112624.1	1.63e-45	fig|470.3666.peg.1095|BXA17_17125|	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)   [Acinetobacter baumannii strain AbS2 C1-D7-12 | 470.3666]	VFDB
HOG4031.fa	WP_001279871.1	1.22e-20	fig|470.2575.peg.3056|	Acyl carrier protein   [Acinetobacter baumannii strain 3.5D | 470.2575]	VFDB
HOG4051.fa	WP_001285361.1	1.70e-05	fig|470.5054.peg.6903|BQ1898_05726|	RNA polymerase sigma factor for flagellar operon   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG4053.fa	WP_001286113.1	2.34e-25	fig|470.5622.peg.4607|SAMEA104305299_06800|	Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5)   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG4068.fa	WP_001289233.1	5.39e-04	fig|470.5623.peg.6174|SAMEA104305315_01784|	still frameshift probable component of chemotactic signal transduction system   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG4085.fa	WP_000138947.1	5.76e-18	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG4086.fa	WP_001398150.1	1.21e-144	fig|470.3433.peg.3615|B9Y09_01565|	Tn21 protein of unknown function Urf2   [Acinetobacter baumannii strain PR395 | 470.3433]	VFDB
